"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.60127573441499e-148,1.06909296516985,0.723,0.568,7.28305180121509e-144,"0","Pqlc1"
1.29104815093499e-145,0.747682643522085,0.921,0.873,3.61467661298777e-141,"0","Cstb"
1.25695603469248e-144,0.4232458175701,0.987,0.968,3.51922550593201e-140,"0","Ube2d3"
8.33694518350182e-144,0.503070619059951,0.97,0.936,2.33417791247684e-139,"0","Selk"
1.34169237888833e-143,0.599957417996383,0.949,0.861,3.75647032241154e-139,"0","Maff"
2.25098329440496e-143,0.350530365124287,0.998,0.994,6.30230302767501e-139,"0","Myl12a"
5.57893580777598e-142,0.794628557391818,0.786,0.632,1.56199044746112e-137,"0","Siah2"
6.86387617895653e-141,1.61992014287413,0.467,0.259,1.92174805258425e-136,"0","Vegfa"
8.09706553365151e-141,0.398876611738598,0.997,0.984,2.26701640811175e-136,"0","Map1lc3a"
2.37733717057247e-140,1.13792658061476,0.631,0.441,6.65606861016881e-136,"0","Nab2"
3.46170127538675e-140,0.794920893019811,0.855,0.756,9.69207123082782e-136,"0","Pdpn"
6.24816470472856e-140,0.684547548644951,0.967,0.94,1.7493611540299e-135,"0","S100a10"
6.35352884878186e-140,1.14124602786116,0.639,0.45,1.77886100708194e-135,"0","Crem"
5.65161959907657e-139,0.375984993799058,0.992,0.984,1.58234045534946e-134,"0","Srrm2"
5.46722272080908e-138,0.994824697719922,0.738,0.58,1.53071301737213e-133,"0","Arl4a"
1.97918408502275e-137,0.90652983640071,0.835,0.756,5.54131960124671e-133,"0","Mat2a"
8.16678011124434e-136,0.81931094440028,0.753,0.596,2.28653509554619e-131,"0","Zfp131"
1.04656758243976e-135,0.806203810807947,0.801,0.7,2.93017991731484e-131,"0","Mast4"
